loss,delay,fast_recovery,md5_hash,ttc,Estimated_RTT
0.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,1.5257589690780353,
0.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,1.526416287304875,[1] 2409772

0.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,1.5262474680171763,[1] 2410025

0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.2124556575307534,[1] 2410284

0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.20968257612582963,[1] 2410715

0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.189577465423254,[1] 2411163

1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.14547708026081313,
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.1560302382959397,[1] 2412108

1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.14904935219037355,
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.11962438225365268,[1] 2413094

1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.11791320089832316,
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.13570667028631633,[1] 2414091

2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.09954099079477031,[1] 2414598

2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.08653198339469917,
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.10816390567861056,
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.08979751151904658,[1] 2416174

2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.059201902605745,
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.06893735599136079,
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.056237839100769814,[1] 2417905

3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.05655472939364837,[1] 2418519

3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.05882949805614406,[1] 2419124

3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.044895348192109226,
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.031933187021166994,
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.06278112119425965,
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.034393143004716194,[1] 2421695

4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.04270670837717612,
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.0345635102360183,
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.02710682847419165,
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.0324556688454457,
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.02844844167344584,[1] 2425390

5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.026819920169451377,
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.020362558171447956,
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,0.027444448405331376,
