loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,None,0.056485891342163086
0.0,20,1,None,0.052329063415527344
0.0,20,1,None,0.05316948890686035
0.0,20,1,None,0.05698895454406738
0.0,20,1,None,0.05071711540222168
0.0,20,0,None,0.0525515079498291
0.0,20,0,None,0.05868339538574219
0.0,20,0,None,0.04824042320251465
0.0,20,0,None,0.04677319526672363
0.0,20,0,None,0.04834866523742676
0.5,20,1,None,0.046729087829589844
0.5,20,1,None,0.04909086227416992
0.5,20,1,None,0.05184793472290039
0.5,20,1,None,0.054009437561035156
0.5,20,1,None,0.05121612548828125
0.5,20,0,None,0.05291032791137695
0.5,20,0,None,0.051964521408081055
0.5,20,0,None,0.05336284637451172
0.5,20,0,None,0.052410125732421875
0.5,20,0,None,0.05714893341064453
1.0,20,1,None,0.05161929130554199
1.0,20,1,None,0.07113242149353027
1.0,20,1,None,0.05529475212097168
1.0,20,1,None,0.05407977104187012
1.0,20,1,None,0.05312967300415039
