delay,md5_hash_1,md5_hash_2,ttc1,ttc2,jfi
0,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5097508430480957,0.39232897758483887,0.9833386146339312
0,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5198287963867188,0.41206836700439453,0.9868048622745171
0,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.4878251552581787,0.4087967872619629,0.9922912059405835
0,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5035419464111328,0.402940034866333,0.9878331622710557
0,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.4919464588165283,0.3833339214324951,0.9848354610845467
20,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5288848876953125,0.8632164001464844,0.945467007050764
20,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5022034645080566,0.8744614124298096,0.9318629190975499
20,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5108828544616699,0.8571577072143555,0.9397891986388855
20,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5259284973144531,0.8785974979400635,0.940690820344524
20,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.518237829208374,0.8487966060638428,0.9447592424133548
40,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.49877190589904785,1.3693618774414062,0.821574027303388
40,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5023138523101807,1.3466839790344238,0.8274435192233677
40,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.4920814037322998,1.3687937259674072,0.8183556673404746
40,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5136618614196777,1.3601434230804443,0.8305142547460542
40,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5001018047332764,1.3436899185180664,0.8269022722740598
60,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.518707275390625,1.8184711933135986,0.7637813225294553
60,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5343806743621826,1.8279097080230713,0.7693269962644199
60,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5309038162231445,1.8180205821990967,0.7690768161405918
60,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5072498321533203,1.8349149227142334,0.756817060791725
60,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5189597606658936,1.8161773681640625,0.7641733925548142
80,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5247189998626709,2.3094353675842285,0.7160533301347093
80,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5132381916046143,2.312181234359741,0.7115481793641283
80,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.539757251739502,2.3149468898773193,0.7211396940354731
80,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5060164928436279,2.3131487369537354,0.7087661853836741
80,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.527958869934082,2.321967840194702,0.716198238980131
100,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5018179416656494,2.79853892326355,0.6737282718345224
100,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5213747024536133,2.7980315685272217,0.6800835315628505
100,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.4976828098297119,2.7993004322052,0.6723408158554579
100,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.531876802444458,2.8150994777679443,0.6824250547236733
100,9819946bc25d7dd1fa7591f9d77748ff,9819946bc25d7dd1fa7591f9d77748ff,0.5219268798828125,2.777299165725708,0.6815156142539776
